ID,Title,Level,Total_Words,Unique_Words,Coverage_Ratio,New_Word_Count,New_Words,Flesch_Kincaid_Grade,Candidate
12,Anarchism,beginner,6793,1932,0.15854556160753716,1923,"'anarchism', a, ability, able, abolish, abolishing, abolition, about, above, abstentionism, academia, academic, academics, accept, acceptance, accepting, according, accused, achieve, achieved, acknowledging, acquiring, act, action, actions, active, activism, activist, activists, activity",16.086762109411755,False
39,Albedo,beginner,3889,1073,0.14476729236307534,1065,"'black', a, about, above, absolute, absorb, absorbed, absorbing, absorbs, absorption, achieve, achieved, across, act, activities, acts, actual, adding, adjacent, aerosol, aerosols, affect, affected, affects, afforestation, afternoon, air, airless, airliner, aka",13.410712795264946,False
290,A,beginner,1713,544,0.20140105078809106,536,"'aleph, a, aardvark, aaron, abbreviations, abjad, about, above, ace, ad, adopted, advent, ae, aes, after, ages, aleph, algebra, all, along, alpha, alphabet, alphabets, also, although, american, among, an, anarchy, ancestor",15.160446050242136,False
303,Alabama,beginner,11706,2803,0.1875961045617632,2794,"'clearers, 'herb, 'here, 'plants', 's, 'to, 'weeds', a, abandoned, abc, abhe, ability, abortion, abortions, about, academic, access, according, accounted, accounts, accreditation, accrediting, achievement, acics, acquired, acres, across, act, acting, active",12.998679316888047,False
305,Achilles,beginner,7542,2285,0.18217979315831345,2275,"'folk, 'narrators', 'river, 's, a, aback, abandoned, abandons, able, about, abrantes, absolute, absorbed, accepting, accident, accidentally, according, account, accounted, accounting, accounts, ach, achaean, achaeans, achaia, acheans, achelous, acheron, achileii, achill",12.313329224285528,False
307,Abraham Lincoln,beginner,13961,3359,0.18014468877587567,3349,"'em, 'radicalism', a, abate, abe, ability, able, abolish, abolished, abolishing, abolition, abolitionist, abolitionists, about, above, abraham, abraham's, abroad, absence, absorbed, abundance, abuse, accept, acceptance, accepted, according, account, accused, acknowledged, acquittal",12.260133543862228,False
308,Aristotle,beginner,10100,2572,0.18108910891089108,2563,"', 'act', 'aristotle', 'be, 'covering, 'generation', 'memory', 'what, a, abelard, ability, able, about, above, absence, absurd, absurdity, abydus, academia, academics, academy, academy's, accepted, accident, accidental, accidents, accompanied, accompanying, accomplished, accordance",13.739339318531211,False
309,An American in Paris,beginner,1763,695,0.184344866704481,685,"a, able, about, abroad, absorbs, accomplished, according, actual, advice, after, album, all, allegretto, allegro, already, also, although, alto, america, american, among, an, andante, andre, announced, apocryphal, applause, aragon, archives, around",13.508194787464145,False
316,Academy Award for Best Production Design,beginner,309,195,0.12297734627831715,188,"a, academy, achievement, adam, alexander, alphabetical, also, ames, ampas, are, art, arts, award, awarded, awards, b, bafta, being, below, best, blumenthal, box, branch, bumstead, burt, but, by, c, callahan, cameron",9.596973742768139,False
324,Academy Awards,beginner,8025,2019,0.1849221183800623,2009,"'oscars', 's, a, abandoned, abc, abc's, ability, able, about, academy, academy's, accelerated, accept, acceptance, accepted, accepting, accessed, acclaim, acclaimed, according, accusations, achieved, achievement, achievements, acknowledged, across, acting, action, active, activist",14.130190047800294,False
330,Actrius,beginner,382,210,0.14397905759162305,201,"'best, a, about, actors, actress, actress', actresses, actrius, adaptation, all, almost, also, american, an, anna, archived, as, assumpta, at, award, awards, barcelona, based, been, beneath, benet, best, bitchiness, bitchy, but",16.43376623376624,False
332,Animalia (book),beginner,362,187,0.1685082872928177,179,"a, about, abrams, accompany, activity, adaptations, additional, aids, airs, alligator, alliterative, along, alphabet, also, american, an, animal, animalia, animals, anniversary, appbooks, application, are, armadillo, as, australia, australian, australian's, author, award",11.685000000000002,False
334,International Atomic Time,beginner,1193,420,0.17099748533109807,412,"a, abbreviated, about, above, adjusted, adjustments, afterward, against, all, also, altitudes, am, an, another, anything, apart, applied, approximate, approximated, are, arrangement, as, aside, at, atom, atomic, atomichron, atomique, average, averaging",11.992237392864265,False
336,Altruism,beginner,5450,1562,0.15724770642201835,1552,"'good, a, abiding, ability, able, about, above, abraham, accepts, according, accounted, achieve, achieving, acknowledges, acquire, across, act, acting, action, actions, activated, activity, actor, acts, adaptations, adaptive, adhesion, adulterous, adults, advocating",14.586390999259809,False
339,Ayn Rand,beginner,6167,1782,0.1495054321388033,1772,"', 'intuition, 'just, 'revelation, 'to, a, a's, able, abortion, about, above, absolute, academe, academia, academic, academics, academy, accepted, according, accurately, accused, achieved, achievement, achievements, acknowledged, acknowledgement, acknowledging, acquired, acting, active",13.75422344029867,False
340,Alain Connes,beginner,753,303,0.22310756972111553,295,"a, about, academic, academies, academy, advanced, alain, algebra, algebras, almost, also, alumni, american, amp, an, analysis, analysts, andr, applied, april, areas, around, arts, as, associates, at, attended, authors, award, awarded",17.606094176524113,False
344,Allan Dwan,beginner,1106,575,0.15822784810126583,566,"a, abroad, accessed, accident, acclaimed, according, accusing, actor, after, age, alcoholic, alive, all, allan, alley, allowed, allowing, almost, aloysius, also, american, an, angel, angeles, annie, april, argentine, around, as, associate",17.419235766595794,False
